"filename", "language", "Svelte", "JavaScript", "HTML", "TypeScript", "JSON", "JSON with Comments", "Markdown", "Ignore", "comment", "blank", "total"
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/savers/reloadStore.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 5, 37
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/savers/saveStore.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 10, 8, 59
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/routes/+page.svelte", "Svelte", 77, 0, 0, 0, 0, 0, 0, 0, 0, 7, 84
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/routes/tests/+page.svelte", "Svelte", 83, 0, 0, 0, 0, 0, 0, 0, 0, 9, 92
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/test-components/CustomAnchor.svelte", "Svelte", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/test-components/CustomControls.svelte", "Svelte", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/test-components/CustomEdge.svelte", "Svelte", 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/test-components/CustomEdge2.svelte", "Svelte", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/test-components/CustomEdge3.svelte", "Svelte", 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/test-components/MyNode.svelte", "Svelte", 60, 0, 0, 0, 0, 0, 0, 0, 0, 7, 67
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/test-components/TestComponent.svelte", "Svelte", 128, 0, 0, 0, 0, 0, 0, 0, 0, 11, 139
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/svelte.config.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 6, 4, 19
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/tests/test.ts", "TypeScript", 0, 0, 0, 148, 0, 0, 0, 0, 13, 65, 226
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 14, 0, 0, 4, 1, 19
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/vite.config.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"Total", "-", 3242, 53, 12, 2258, 5656, 14, 245, 11, 109, 920, 12520
